A1_implication_F,A2_implication_F,A1_implication_G,A2_implication_G
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
Morality is a useless drain on politics.,morality,,
,,,
,,,
major economic disaster,major economic disaster,,
,,,
,,,
many colleges ,colleges,,
,,,
,,,
,,,
,,,
,,,
not to do drugs.,,,
Everything we do is in pursuit of a better life.,Everything we do,,
,,,
,,,
,,,
,,,
,,,
Allowing them to pick the executive,Allowing them to pick the executive,,
,,,
"people blowing their $1,000 early in the month ","bunch of people blowing their $1,000 early",,
,,,
,,,
10 lives by killing themselves and donating their organs.,killing themselves and donating their organs,,
,,,
,,,
eating dog meat.,,,
Elections,Elections,,
,,,
,,,
,,,
,,,
,,,
 lose weight is eat less,eat less,,
sell shit.,sell shit,,
even if we took 100% of there wealth,even if we took 100% of their wealth,,
,,,
Feminism,Feminism,,
,,,
,,,
,,,
,,,
,,,
,,,
,, self defense starts with situational awareness.,self defense starts with situational awareness
,,,
,,,
,,,
not aware of the effects,not aware of the effects,,
